NEV;VALUE;M_KOD;VON_IDO
Bács-Kiskun vármegye;82,75610833;TYWG006;2024
Baranya vármegye;79,66539468;TYWG006;2024
Békés vármegye;82,9332649;TYWG006;2024
Borsod-Abaúj-Zemplén vármegye;80,77977126;TYWG006;2024
Budapest;66,40681514;TYWG006;2024
Csongrád-Csanád vármegye;79,22255643;TYWG006;2024
Fejér vármegye;81,81072586;TYWG006;2024
Győr-Moson-Sopron vármegye;85,92332504;TYWG006;2024
Hajdú-Bihar vármegye;77,92520553;TYWG006;2024
Heves vármegye;84,84742491;TYWG006;2024
Jász-Nagykun-Szolnok vármegye;77,75038909;TYWG006;2024
Komárom-Esztergom vármegye;79,6495165;TYWG006;2024
Nógrád vármegye;82,6064704;TYWG006;2024
Pest vármegye;92,45277386;TYWG006;2024
Somogy vármegye;85,24809229;TYWG006;2024
Szabolcs-Szatmár-Bereg vármegye;86,51657895;TYWG006;2024
Tolna vármegye;87,22478377;TYWG006;2024
Vas vármegye;85,25672523;TYWG006;2024
Veszprém vármegye;83,96463299;TYWG006;2024
Zala vármegye;84,26863437;TYWG006;2024
Bács-Kiskun vármegye;9,05474813;TYWG008;2024
Baranya vármegye;7,71233986;TYWG008;2024
Békés vármegye;8,27727794;TYWG008;2024
Borsod-Abaúj-Zemplén vármegye;8,15815324;TYWG008;2024
Budapest;16,75283673;TYWG008;2024
Csongrád-Csanád vármegye;8,34863514;TYWG008;2024
Fejér vármegye;6,85908592;TYWG008;2024
Győr-Moson-Sopron vármegye;7,02662097;TYWG008;2024
Hajdú-Bihar vármegye;9,09455771;TYWG008;2024
Heves vármegye;6,14965051;TYWG008;2024
Jász-Nagykun-Szolnok vármegye;8,531738;TYWG008;2024
Komárom-Esztergom vármegye;9,25596271;TYWG008;2024
Nógrád vármegye;8,06551333;TYWG008;2024
Pest vármegye;5,94955507;TYWG008;2024
Somogy vármegye;6,74246413;TYWG008;2024
Szabolcs-Szatmár-Bereg vármegye;7,05736162;TYWG008;2024
Tolna vármegye;5,76198061;TYWG008;2024
Vas vármegye;7,97712117;TYWG008;2024
Veszprém vármegye;8,21394702;TYWG008;2024
Zala vármegye;7,78666548;TYWG008;2024
Bács-Kiskun vármegye;31,41374617;TYWG009;2024
Baranya vármegye;33,13078586;TYWG009;2024
Békés vármegye;37,73081336;TYWG009;2024
Borsod-Abaúj-Zemplén vármegye;36,07634016;TYWG009;2024
Budapest;36,18670249;TYWG009;2024
Csongrád-Csanád vármegye;35,81755975;TYWG009;2024
Fejér vármegye;34,90428124;TYWG009;2024
Győr-Moson-Sopron vármegye;28,75721865;TYWG009;2024
Hajdú-Bihar vármegye;34,20418923;TYWG009;2024
Heves vármegye;31,68631006;TYWG009;2024
Jász-Nagykun-Szolnok vármegye;38,47902937;TYWG009;2024
Komárom-Esztergom vármegye;36,52073559;TYWG009;2024
Nógrád vármegye;32,89830146;TYWG009;2024
Pest vármegye;22,69661257;TYWG009;2024
Somogy vármegye;28,38272831;TYWG009;2024
Szabolcs-Szatmár-Bereg vármegye;31,16696819;TYWG009;2024
Tolna vármegye;25,01764077;TYWG009;2024
Vas vármegye;32,14615291;TYWG009;2024
Veszprém vármegye;31,06657394;TYWG009;2024
Zala vármegye;31,10495427;TYWG009;2024
Bács-Kiskun vármegye;59,5315057;TYWG010;2024
Baranya vármegye;59,15687428;TYWG010;2024
Békés vármegye;53,9919087;TYWG010;2024
Borsod-Abaúj-Zemplén vármegye;55,7655066;TYWG010;2024
Budapest;47,06046078;TYWG010;2024
Csongrád-Csanád vármegye;55,8338051;TYWG010;2024
Fejér vármegye;58,23663284;TYWG010;2024
Győr-Moson-Sopron vármegye;64,21616038;TYWG010;2024
Hajdú-Bihar vármegye;56,70125305;TYWG010;2024
Heves vármegye;62,16403942;TYWG010;2024
Jász-Nagykun-Szolnok vármegye;52,98923263;TYWG010;2024
Komárom-Esztergom vármegye;54,2233017;TYWG010;2024
Nógrád vármegye;59,03618521;TYWG010;2024
Pest vármegye;71,35383236;TYWG010;2024
Somogy vármegye;64,87480756;TYWG010;2024
Szabolcs-Szatmár-Bereg vármegye;61,77567019;TYWG010;2024
Tolna vármegye;69,22037862;TYWG010;2024
Vas vármegye;59,87672592;TYWG010;2024
Veszprém vármegye;60,71947904;TYWG010;2024
Zala vármegye;61,10838025;TYWG010;2024
Bács-Kiskun vármegye;3381,489655;TYWJ006;2024
Baranya vármegye;3786,731183;TYWJ006;2024
Békés vármegye;3814,271605;TYWJ006;2024
Borsod-Abaúj-Zemplén vármegye;4326,760563;TYWJ006;2024
Budapest;3866,080275;TYWJ006;2024
Csongrád-Csanád vármegye;3294,118644;TYWJ006;2024
Fejér vármegye;4557,01087;TYWJ006;2024
Győr-Moson-Sopron vármegye;4679,435644;TYWJ006;2024
Hajdú-Bihar vármegye;4033,139535;TYWJ006;2024
Heves vármegye;3682,194805;TYWJ006;2024
Jász-Nagykun-Szolnok vármegye;3733,978571;TYWJ006;2024
Komárom-Esztergom vármegye;3823,434783;TYWJ006;2024
Nógrád vármegye;4483,835821;TYWJ006;2024
Pest vármegye;5616,71875;TYWJ006;2024
Somogy vármegye;4961,446097;TYWJ006;2024
Szabolcs-Szatmár-Bereg vármegye;4222,405797;TYWJ006;2024
Tolna vármegye;3546,534483;TYWJ006;2024
Vas vármegye;5371,717391;TYWJ006;2024
Veszprém vármegye;4129,506173;TYWJ006;2024
Zala vármegye;4457,965517;TYWJ006;2024
Bács-Kiskun vármegye;556535,2701;TYWN001;2024
Baranya vármegye;551210,5361;TYWN001;2024
Békés vármegye;489365,2622;TYWN001;2024
Borsod-Abaúj-Zemplén vármegye;523386,0443;TYWN001;2024
Budapest;782459,0754;TYWN001;2024
Csongrád-Csanád vármegye;561080,2867;TYWN001;2024
Fejér vármegye;628251,535;TYWN001;2024
Győr-Moson-Sopron vármegye;685663,63;TYWN001;2024
Hajdú-Bihar vármegye;564243,5014;TYWN001;2024
Heves vármegye;594594,9451;TYWN001;2024
Jász-Nagykun-Szolnok vármegye;529208,0274;TYWN001;2024
Komárom-Esztergom vármegye;644284,3843;TYWN001;2024
Nógrád vármegye;504309,0435;TYWN001;2024
Pest vármegye;590878,9351;TYWN001;2024
Somogy vármegye;526223,0465;TYWN001;2024
Szabolcs-Szatmár-Bereg vármegye;475562,5894;TYWN001;2024
Tolna vármegye;599569,8651;TYWN001;2024
Vas vármegye;584636,2449;TYWN001;2024
Veszprém vármegye;579413,76;TYWN001;2024
Zala vármegye;525751,903;TYWN001;2024
Bács-Kiskun vármegye;457683,4542;TYWN002;2024
Baranya vármegye;418470,5596;TYWN002;2024
Békés vármegye;399280,7838;TYWN002;2024
Borsod-Abaúj-Zemplén vármegye;399463,45;TYWN002;2024
Budapest;526456,0128;TYWN002;2024
Csongrád-Csanád vármegye;431307,7731;TYWN002;2024
Fejér vármegye;509212,633;TYWN002;2024
Győr-Moson-Sopron vármegye;581777,598;TYWN002;2024
Hajdú-Bihar vármegye;420324,8333;TYWN002;2024
Heves vármegye;473150,0417;TYWN002;2024
Jász-Nagykun-Szolnok vármegye;425183,1104;TYWN002;2024
Komárom-Esztergom vármegye;524130,6904;TYWN002;2024
Nógrád vármegye;382976,2441;TYWN002;2024
Pest vármegye;455854,8534;TYWN002;2024
Somogy vármegye;416377,7155;TYWN002;2024
Szabolcs-Szatmár-Bereg vármegye;365829,4742;TYWN002;2024
Tolna vármegye;454414,9666;TYWN002;2024
Vas vármegye;497085,6561;TYWN002;2024
Veszprém vármegye;465760,6694;TYWN002;2024
Zala vármegye;429037,2454;TYWN002;2024
Bács-Kiskun vármegye;694453,8205;TYWN003;2024
Baranya vármegye;682399,8109;TYWN003;2024
Békés vármegye;602995,8972;TYWN003;2024
Borsod-Abaúj-Zemplén vármegye;687280,2469;TYWN003;2024
Budapest;921808,8614;TYWN003;2024
Csongrád-Csanád vármegye;690942,376;TYWN003;2024
Fejér vármegye;790227,6848;TYWN003;2024
Győr-Moson-Sopron vármegye;811206,3986;TYWN003;2024
Hajdú-Bihar vármegye;717989,2504;TYWN003;2024
Heves vármegye;738635,6601;TYWN003;2024
Jász-Nagykun-Szolnok vármegye;677859,4265;TYWN003;2024
Komárom-Esztergom vármegye;803952,8187;TYWN003;2024
Nógrád vármegye;649941,8045;TYWN003;2024
Pest vármegye;754855,7373;TYWN003;2024
Somogy vármegye;663952,9071;TYWN003;2024
Szabolcs-Szatmár-Bereg vármegye;630270,0803;TYWN003;2024
Tolna vármegye;768417,8519;TYWN003;2024
Vas vármegye;704241,9929;TYWN003;2024
Veszprém vármegye;725217,9713;TYWN003;2024
Zala vármegye;656410,5863;TYWN003;2024
Bács-Kiskun vármegye;383770,5692;TYWN004;2024
Baranya vármegye;380503,7853;TYWN004;2024
Békés vármegye;338363,8456;TYWN004;2024
Borsod-Abaúj-Zemplén vármegye;362727,6355;TYWN004;2024
Budapest;536322,8552;TYWN004;2024
Csongrád-Csanád vármegye;387069,2815;TYWN004;2024
Fejér vármegye;433289,5806;TYWN004;2024
Győr-Moson-Sopron vármegye;470676,3639;TYWN004;2024
Hajdú-Bihar vármegye;389313,4207;TYWN004;2024
Heves vármegye;409422,4166;TYWN004;2024
Jász-Nagykun-Szolnok vármegye;366033,2728;TYWN004;2024
Komárom-Esztergom vármegye;443229,8444;TYWN004;2024
Nógrád vármegye;349382,3221;TYWN004;2024
Pest vármegye;407551,2617;TYWN004;2024
